Başlangıç;;Adım 1;Adım 2;;;;;;;;;;;;;
Merhaba size  yardımcı olabilmemiz için aşağıdaki başlıklardan uygun olanı seçebilirsiniz. (A) ;Başlıklar (A);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Modüller hakkında bilgi edinmek mi istiyorsun? (B);info… Burada konu başlıkları olabilir ancak tüm firmalar aynı modüllere sahip değiller, eğer konu başlıklarını koyacaksak kullanıcının company kırılımına göre etkin olan paketini sizlere iletmemiz gerekiyor. Başlıklar (B);Hangi modül hakkında bilgi almak istediğini öğrenebilir miyim?;Başlıklar (B) altında bulunan uygun başlığa göre yanıtı göndermeli.;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Başlıklar (A);;;;;;;;;;;;;;;;
Uygulamaya Giriş Öncesi;Açıklama:;Çözüm Adım 1;Çözüm Adım 2;;Uygulamaya giriş öncesi;;;;;;;;;;;
Kullanıcı Bulunamadı.;Sistemde kayıtlı telefon numaranızın veya mail adresinizin bulunmaması veya güncel olmamasından kaynaklanmaktadır.;Bilgilerinizin güncel olduğundan emin olduktan sonra tekrar deneyiniz, eğer sorun hala devam ediyorsa konuyla ilgili insan kaynaklarınızla iletişime geçiniz.;;;Chatbot, uygulamaya henüz giriş yapmamış, bizler için anonim olan kullanıcıllar için yalnızca bu ve Başlıklar (B)  kategorilerinde destek vermelidir.;;;;;;;;;;;
Şifre yenileme yaparken sms gelmiyor.;;Öncelikle smslerin spam klasörüne düşmediğinden emin olunuz. ;Yaşamış olduğunuz sorunu, size yardımcı olabilmesi adına ilgili ekibe iletiyorum.;;;;;;;;;;;;;
Şifre yenilemesi yaparken maile kod gelmiyor.;;Maillerin spam klasörüne düşmediğinden emin olunuz. ;Yaşamış olduğunuz sorunu, size yardımcı olabilmesi adına ilgili ekibe iletiyorum.;;;;;;;;;;;;;
Geçiş Kontrol;Açıklama:;Çözüm:;;;;;;;;;;;;;;
Konum Doğrulanamadı hatası almaktayım.;Telefonunuzun konum bilgilerinin, okutmayı denediğiniz QR kod içerisine tanımlanmış olan konumun ve mesafenin eşleşmemesinden kaynaklanmaktadır.;"Şubede bu uyarıyı alan çok fazla kullanıcı yoksa lütfen şu adımları izleyin; internet bağlantınızı değiştirmeyi veya kapatıp açmayı, telefonunuzu uçak moduna alıp tekrar normal moda almayı, Wifi özelliğini açmayı (herhangi bir wifi ağına bağlanmanız gerekmemektedir.) deneyin.";İlgili yönergeleri uygulamanıza rağmen hala uyarıyı almaya devam ediyorsanız lütfen insan kaynaklarınız ile iletişime geçiniz.;;;;;;;;;;;;;
Geçersiz Qr hatası almaktayım.;Passgage harici bir QR'a okutma işlemi yapıldığında veya ilgili şirkete henüz tanımlanmamış bir Passgage QR'ı okutmaya çalışıldığında karşılaşılmaktadır.;Okutmayı denediğiniz QR'ın bir Passgage QR'ı olduğundan emin olunuz.;Eğer sorun hala devam ediyorsa lütfen yetkili biriminiz ile iletişime geçiniz.;;;;;;;;;;;;;
Buraya Girmeye Yetkiniz Yoktur uyarısı almaktayım.;Okutmak istediğiniz QR için yetkiniz bulunmamasından kaynaklanmaktadır.;Konuyla ilgili yetkili biriminiz ile iletişime geçmeniz gerekmektedir.;;;;;;;;;;;;;;
Qr okuturken titreme ve/veya sonuç alamama.;Passgage'in konum erişimine izin verilmemesinden kaynaklanmaktadır.;Passgage uygulamasının konum bilgilerinize erişebilmesi için gerekli izinleri vermeniz gerekmektedir. Telefonunuzda Ayarlar>Uygulamalar>Passgage>Konum kısmından ''Konum bilgilerine erişim izni ver'' seçeneğinin aktif olup olmadığını kontrol ediniz. Konum bilginiz güvenlik önlemleri nedeniyle yalnızca QR okutması gerçekleştirdiğiniz esnada kontrol edilmektedir.;;;;;;;;;;;;;;
